雄安新区有哪些大学	1	17
0 102 360 398	https://weixin.sogou.com/weixinwap?ie=utf8&query=%E9%9B%84%E5%AE%89%E6%96%B0%E5%8C%BA%E6%9C%89%E5%93%AA%E4%BA%9B%E5%A4%A7%E5%AD%A6&type=2&sourceid=weixinvr	11002501	0
0 506 360 352	https://m.sogou.com/web/searchList.jsp?insite=zhihu.com&pid=sogou-waps-21a38ed2ee0c2c08&query=%E9%9B%84%E5%AE%89%E6%96%B0%E5%8C%BA%E6%9C%89%E5%93%AA%E4%BA%9B%E5%A4%A7%E5%AD%A6	30010244	1
0 1339.953125 360 258	https://m.hahawen.com/356396.html	30010092	2
0 1603.953125 360 160	https://m.ruiwen.com/edu/daxue/3397162.html	30000000	3
0 1769.953125 360 187	http://m.bd.bendibao.com/news/5523.shtm	30000909	4
0 1962.953125 360 209	http://blog.sina.cn/dpool/blog/s/blog_9cc727c10102x09g.html	30000909	5
0 2177.953125 360 187	https://m.sohu.com/a/229189862_100154279/?pvid=000115_3w_a	30000000	6
0 2370.953125 360 187	http://www.zizzs.com/c/201901/31619.html	30000000	7
0 2563.953125 360 209	https://3w.huanqiu.com/a/df051c/9CaKrnKmHpf?agt=78	30000909	8
0 2818.953125 360 209	https://3w.huanqiu.com/a/df051c/9CaKrnKmHpf?agt=78	30000909	9
0 3033.953125 360 209	http://www.xinhuanet.com/local/2017-12/14/c_1122107412.htm	30000909	10
0 3248.953125 360 187	https://m.58.com/xionganxinqu/gndaxue/?reform=pcfront	30000000	11
0 3655.953125 360 187	https://www.etest8.com/zybd/hebei/chafen/5666626.html	30000000	12
0 3848.953125 360 257	https://m.sohu.com/a/210565749_773043	30010302	13
0 4111.859375 360 187	https://www.pingguopeixun.com/xuelizixun/sxbk/54713.html	30000909	14
0 4304.859375 360 187	https://m.ruhusz.com/70696.html	30000909	15
0 4497.859375 360 182	http://k.sina.cn/article_1071220474_3fd986fa00100aoc5.html?from=news&subch=zx	30000909	16

五感六觉是哪五感六觉	1	20
0 102 360 282	https://m.yebaike.com/22/2566424.html	80020034	0
0 390 360 325	https://m.sogou.com/web/sl?channel=zhishi&pid=sogou-waps-2c6037040bf5058a&keyword=%E4%BA%94%E6%84%9F%E5%85%AD%E8%A7%89%E6%98%AF%E5%93%AA%E4%BA%94%E6%84%9F%E5%85%AD%E8%A7%89&g_f=11301026	30000202	1
0 935 360 302	https://weixin.sogou.com/weixinwap?ie=utf8&query=%E4%BA%94%E6%84%9F%E5%85%AD%E8%A7%89%E6%98%AF%E5%93%AA%E4%BA%94%E6%84%9F%E5%85%AD%E8%A7%89&type=2&sourceid=weixinvr	11002501	2
0 1457 360 182	https://mlive.fatiao.pro/sg_article/46559.html	30000909	3
0 1645 360 209	http://zhuanlan.zhihu.com/p/97198619	30010208	4
0 1860 360 160	http://wenwen.m.sogou.com/qudetail.jsp?qid=614283021	30000000	5
0 2026 360 187	https://www.shopmall.org.cn/m/view.php?aid=649	30000000	6
0 2219 360 187	https://meditation.cosmosrepair.com/12	30000000	7
0 2412 360 187	http://www.naseng.com/w/16831/	30000000	8
0 2605 360 160	https://wk.baidu.com/view/87eec971fe4733687f21aa2a	30000000	9
0 2811 360 182	https://www.douban.com/group/topic/168547510/	30000402	10
0 2999 360 160	http://m.iask.sina.com.cn/jxwd/6f5j3A2pKxu.html?=1&vt=4	30000000	11
0 3165 360 160	https://mxuexi.zqnf.com/3763347.html	30000000	12
0 3545 360 182	https://wk.baidu.com/view/cefac9ae172ded630b1cb687?pcf=2	30010259	13
0 3733 360 181	http://wenda.tianya.cn/question/7f0b8993dfe5239d?sort=t	30000201	14
0 3920 360 209	http://ishare.iask.sina.com.cn/f/34F52vahECM.html	30010259	15
0 4135 360 203	http://wenda.tianya.cn/answer/161uscj84l39jpjk5v8547t9f94j5igvi8gjh	30000201	16
0 4344 360 181	http://wenda.tianya.cn/answer/7f0b8993dfe5239d000466f7c3cb1a7a	30000201	17
0 4531 360 187	http://blog.sina.cn/dpool/blog/s/blog_9d2735560101giiv.html	30000000	18
0 4724 360 182	https://wk.baidu.com/view/963063e1e009581b6bd9eb87?pcf=2	30010259	19

泛华集团是国企吗	1	18
0 102 360 243	http://m.hubei88.com/view.php?aid=100340	41020101	0
0 351 360 203	http://wenwen.sogou.com/z/q725215352.htm	30000201	1
0 560 360 182	http://mp.weixin.qq.com/s?src=3&timestamp=1623761814&ver=1&signature=TcTOgvYkqjBGYLmuLm6jVA9kufAF8CMUt*EUGVDHsLCuLPPCwOcWMQTeg4-nIiS6aImW32ADbde4IMBkRHv4OSOZidHmibutxkMcz51OdquHB3vToDwpMxq74xccNs8V90sdtZ99c4MmoA5mbIgVWQ==	11002601	2
0 1223.953125 360 299	https://wapv.sogou.com/v?query=%E6%B3%9B%E5%8D%8E%E9%9B%86%E5%9B%A2%E6%98%AF%E5%9B%BD%E4%BC%81%E5%90%97&p=40230600&tab=video&ie=utf8&rawQuery=%E6%B3%9B%E5%8D%8E%E9%9B%86%E5%9B%A2%E6%98%AF%E5%9B%BD%E4%BC%81%E5%90%97&vrid=11000404	11000404	3
0 1528.9375 360 211	https://www.zhihu.com/tardis/sogou/qus/50465894	30010173	4
0 1745.9375 360 165	https://zq-mobile.zhaopin.com/zpdOutputQuestionDetail/6914566/	30000000	5
0 1916.9375 360 165	https://zq.zhaopin.com/zpdOutputQuestionForXZH/6914566	30000000	6
0 2087.9375 360 165	http://m.guba.eastmoney.com/article/745738101	30000000	7
0 2258.9375 360 181	http://m.iask.sina.com.cn/b/OnOQHsdeNT5.html?=1&vt=4	30000201	8
0 2445.9375 360 187	http://www.jljob88.com/mobile/companydetail_cm1343800595572.htm	30000000	9
0 2678.9375 360 187	https://msearch.51job.com/jobs/all/co2521394.html	30000000	10
0 2871.9375 360 182	http://js.fanhua.net.cn/dszjy.html	30000909	11
0 3059.9375 360 187	http://www.sxjrgm.com/cygs/38579.html	30000000	12
0 3466.9375 360 187	https://www.123youhuo.com/qiye_363380	30000000	13
0 3921.890625 360 241	http://www.qhkxw.com/view/7iwm78.html	30010092	14
0 4168.890625 360 160	http://www.fanhua.net.cn/	30000000	15
0 4548.890625 360 187	https://m.bao361.cn/ask/detail/1123285.html	30000000	16
0 4741.890625 360 187	http://www.qhkxw.com/view/211202.html	30000000	17

党组织讨论决定问题必须执行什么的原则	1	21
0 102 360 453	http://wenwen.sogou.com/z/q824167569.htm?aid=4175285295	41020100	0
0 561 360 187	https://m.shangxueba.cn/768727.html	30000000	1
0 754 360 491	https://m.sogou.com/web/sl?channel=zhishi&pid=sogou-waps-2c6037040bf5058a&keyword=%E5%85%9A%E7%BB%84%E7%BB%87%E8%AE%A8%E8%AE%BA%E5%86%B3%E5%AE%9A%E9%97%AE%E9%A2%98%E5%BF%85%E9%A1%BB%E6%89%A7%E8%A1%8C%E4%BB%80%E4%B9%88%E7%9A%84%E5%8E%9F%E5%88%99	30010125	2
